iteration,temperature,current_cost,best_cost,accepted,reason,move
94,62.42658676435393,208,203,False,hard_constraint_violation,swap 29<->4
95,62.114453830532156,208,203,False,hard_constraint_violation,swap 75<->38
96,61.8038815613795,208,203,False,hard_constraint_violation,relocate 36
97,61.4948621535726,208,203,False,hard_constraint_violation,swap 75<->37
98,61.18738784280473,208,203,False,hard_constraint_violation,swap 38<->75
99,60.88145090359071,208,203,False,hard_constraint_violation,relocate 34
100,60.577043649072756,213,203,True,soft_constraint_evaluation,swap 75<->76
101,60.27415843082739,213,203,False,hard_constraint_violation,swap 52<->25
102,59.97278763867325,213,203,False,hard_constraint_violation,swap 37<->75
103,59.672923700479885,213,203,False,hard_constraint_violation,relocate 71
104,59.37455908197749,213,203,True,soft_constraint_evaluation,swap 45<->43
105,59.0776862865676,213,203,False,hard_constraint_violation,swap 41<->67
106,58.78229785513476,213,203,False,hard_constraint_violation,swap 75<->38
107,58.488386365859085,213,203,False,hard_constraint_violation,swap 25<->56
108,58.19594443402979,213,203,False,hard_constraint_violation,swap 38<->75
109,57.90496471185964,218,203,True,soft_constraint_evaluation,swap 37<->38
110,57.615439888300344,218,203,False,hard_constraint_violation,swap 76<->38
111,57.32736268885884,218,203,False,hard_constraint_violation,swap 68<->63
112,57.040725875414545,218,203,False,hard_constraint_violation,relocate 22
113,56.75552224603747,218,203,False,hard_constraint_violation,swap 37<->76
114,56.47174463480729,221,203,True,soft_constraint_evaluation,swap 26<->19
115,56.18938591163325,216,203,True,soft_constraint_evaluation,swap 37<->38
116,55.90843898207508,217,203,True,soft_constraint_evaluation,swap 52<->66
117,55.628896787164706,217,203,False,hard_constraint_violation,swap 14<->57
118,55.35075230322888,217,203,False,hard_constraint_violation,swap 37<->75
119,55.07399854171273,217,203,False,hard_constraint_violation,swap 61<->18
120,54.79862854900417,217,203,False,hard_constraint_violation,relocate 70
121,54.52463540625915,212,203,True,soft_constraint_evaluation,swap 76<->75
122,54.25201222922785,212,203,False,hard_constraint_violation,swap 63<->60
123,53.980752168081715,212,203,False,hard_constraint_violation,swap 36<->69
124,53.71084840724131,212,203,False,hard_constraint_violation,swap 36<->59
125,53.4422941652051,212,203,False,hard_constraint_violation,swap 38<->76
126,53.17508269437907,212,203,False,hard_constraint_violation,swap 18<->20
127,52.909207280907175,212,203,False,hard_constraint_violation,swap 28<->9
128,52.644661244502636,212,203,False,hard_constraint_violation,swap 76<->38
129,52.38143793828012,212,203,False,soft_constraint_evaluation,swap 76<->75
130,52.11953074858872,212,203,False,hard_constraint_violation,swap 76<->37
131,51.85893309484578,212,203,False,hard_constraint_violation,relocate 41
132,51.59963842937155,212,203,False,hard_constraint_violation,relocate 56
133,51.341640237224695,212,203,False,hard_constraint_violation,relocate 72
134,51.08493203603857,212,203,False,hard_constraint_violation,relocate 65
135,50.82950737585838,217,203,True,soft_constraint_evaluation,swap 37<->38
136,50.57535983897908,217,203,False,hard_constraint_violation,swap 38<->76
137,50.32248303978419,217,203,False,hard_constraint_violation,relocate 71
138,50.07087062458527,217,203,False,hard_constraint_violation,relocate 76
139,49.82051627146234,217,203,False,hard_constraint_violation,swap 57<->18
140,49.571413690105025,217,203,False,hard_constraint_violation,relocate 24
141,49.3235566216545,217,203,False,hard_constraint_violation,swap 38<->76
142,49.076938838546226,217,203,False,hard_constraint_violation,swap 75<->38
143,48.8315541443535,217,203,False,hard_constraint_violation,swap 63<->3
144,48.58739637363173,217,203,False,hard_constraint_violation,relocate 7
145,48.344459391763564,217,203,True,soft_constraint_evaluation,swap 6<->4
146,48.102737094804745,217,203,False,hard_constraint_violation,relocate 26
147,47.862223409330724,217,203,False,hard_constraint_violation,swap 17<->63
148,47.62291229228407,217,203,False,hard_constraint_violation,swap 62<->33
149,47.38479773082265,217,203,False,hard_constraint_violation,relocate 22
150,47.147873742168535,217,203,False,hard_constraint_violation,swap 21<->42
151,46.91213437345769,217,203,False,hard_constraint_violation,swap 42<->51
152,46.677573701590404,217,203,False,hard_constraint_violation,swap 10<->32
153,46.44418583308245,217,203,False,hard_constraint_violation,swap 37<->75
154,46.211964903917035,217,203,False,hard_constraint_violation,relocate 47
155,45.98090507939745,217,203,False,hard_constraint_violation,swap 37<->75
156,45.75100055400046,217,203,False,hard_constraint_violation,swap 56<->65
157,45.52224555123046,222,203,True,soft_constraint_evaluation,swap 76<->75
158,45.29463432347431,222,203,False,hard_constraint_violation,swap 76<->38
159,45.06816115185694,222,203,False,hard_constraint_violation,swap 75<->37
160,44.84282034609765,222,203,False,hard_constraint_violation,relocate 12
161,44.618606244367164,222,203,False,hard_constraint_violation,relocate 32
162,44.39551321314533,222,203,False,hard_constraint_violation,swap 75<->37
163,44.1735356470796,222,203,False,hard_constraint_violation,swap 38<->76
164,43.9526679688442,222,203,False,hard_constraint_violation,swap 75<->38
165,43.73290462899998,222,203,False,hard_constraint_violation,relocate 36
166,43.51424010585498,222,203,False,hard_constraint_violation,swap 11<->31
167,43.2966689053257,222,203,False,hard_constraint_violation,relocate 65
168,43.08018556079907,222,203,False,hard_constraint_violation,relocate 63
169,42.864784632995075,222,203,False,hard_constraint_violation,swap 12<->40
170,42.6504607098301,222,203,False,hard_constraint_violation,swap 42<->50
171,42.43720840628095,217,203,True,soft_constraint_evaluation,swap 76<->75
172,42.22502236424955,217,203,False,hard_constraint_violation,swap 76<->38
173,42.0138972524283,217,203,False,hard_constraint_violation,swap 16<->25
